Product title,Product priceProduct rating,Reviews count,Buy link
Deep Learning with Python,₹580,4.9,(8),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
Data Structure and Algorithmic Thinking with Python,₹606,4.5,(396),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
"Think Python, 2nd Edition - How to Think Like a Compute...",₹525,4.3,(238),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
"Learning Python (English, Paperback, Lutz Mark)","₹1,600",4.4,(364),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
Introduction To Computation&Programming Using Python,₹565,4.5,(53),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
Internet of Things with Python,"₹3,499",5,(4),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
Black Hat Python,"₹1,500",4.6,(5),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
Introduction to Computating & Problem Solving Through P...,₹270,4.4,(86),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
Learning Python,"₹5,185",4.7,(11),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
Beginning Data Science with Python and Jupyter,"₹1,099",rating not available,reviews not available,https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
Python Tricks,₹480,4.4,(103),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
Together with Computer Science with Python Study Materi...,₹360,4.4,(16),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
