Description,Price,Rating,ReviewCount
"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹11,990",4.0 out of 5 stars,"2,522",https://www.amazon.com/Oppo-Fantasy-Storage-Additional-Exchange/dp/B08444SXZ6/ref=sr_1_14?dchild=1&keywords=redmi+k20&qid=1611857317&sr=8-14
"Samsung Galaxy M51 (Celestial Black, 6GB RAM, 128GB Storage)","₹22,999",4.4 out of 5 stars,"27,785",https://www.amazon.com/Samsung-Galaxy-Celestial-Black-Storage/dp/B085J1X78K/ref=sr_1_15?dchild=1&keywords=redmi+k20&qid=1611857317&sr=8-15
Nillkin Case for Xiaomi Redmi K20 K 20 / Xiaomi Redmi K20 Pro Qin Genuine Classic Leather Flip Folio + Card Slot Black Color,₹899,,,https://www.amazon.com/Nillkin-Xiaomi-Genuine-Classic-Leather/dp/B07W97415W/ref=sr_1_16?dchild=1&keywords=redmi+k20&qid=1611857317&sr=8-16
"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB Storage)","₹19,499",4.3 out of 5 stars,"39,776",https://www.amazon.com/Samsung-Galaxy-Mirage-Black-Storage/dp/B07DJD1XZ4/ref=sr_1_17?dchild=1&keywords=redmi+k20&qid=1611857317&sr=8-17
"Redmi K20 (Glacier Blue, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Glacier-Storage-Exchange/dp/B082FNDQT7/ref=sr_1_1?dchild=1&keywords=redmi+k20&qid=1611857321&sr=8-1
"(Renewed) Redmi K20 (Pearl White, 6GB RAM, 64GB Storage) - Extra 2,000 Off on Exchange &12 Month No Cost EMI","₹19,999",2.9 out of 5 stars,7,https://www.amazon.com/Renewed-Redmi-Pearl-White-Storage/dp/B08F5GC7XJ/ref=sr_1_2?dchild=1&keywords=redmi+k20&qid=1611857321&sr=8-2
"(Renewed) Redmi K20 (Carbon Black, 6GB RAM, 64GB Storage)","₹19,000",3.6 out of 5 stars,5,https://www.amazon.com/Renewed-Redmi-Carbon-Black-Storage/dp/B0818574XC/ref=sr_1_3?dchild=1&keywords=redmi+k20&qid=1611857321&sr=8-3
"Redmi K20 (Flame Red, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Flame-128GB-Storage/dp/B082FMMD3B/ref=sr_1_4?dchild=1&keywords=redmi+k20&qid=1611857321&sr=8-4
"Redmi K20 (Carbon Black, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Carbon-Black-Storage/dp/B082FNG2D1/ref=sr_1_5?dchild=1&keywords=redmi+k20&qid=1611857321&sr=8-5
"Redmi K20 (Pearl White, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Pearl-White-Storage/dp/B082FMS6GB/ref=sr_1_6?dchild=1&keywords=redmi+k20&qid=1611857321&sr=8-6
"Nokia 5.3 Android One Smartphone with Quad Camera, 6 GB RAM and 64 GB Storage - Charcoal","₹13,498",3.7 out of 5 stars,"2,712",https://www.amazon.com/Nokia-5-3-Android-Smartphone-64/dp/B08GT28WQQ/ref=sr_1_7?dchild=1&keywords=redmi+k20&qid=1611857321&sr=8-7
