Product Name,Price,Rating,No. of reviews,Buy link
"Redmi Note 7 Pro (Red, 64 GB)","₹10,999",4.5 out of 5,"8,40,997 Ratings & 72,745 Reviews",https://www.flipkart.com/redmi-note-7-pro-red-64-gb/p/itm410bac3ec336c?pid=MOBFDXZ3UJJ7ETTE&lid=LSTMOBFDXZ3UJJ7ETTEMFMXNO&marketplace=FLIPKART&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFDXZ3UJJ7ETTE.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
"Redmi Note 7 Pro (Astro Moonlight White, 128 GB)","₹13,999",4.4 out of 5,"3,14,219 Ratings & 26,362 Reviews",https://www.flipkart.com/redmi-note-7-pro-astro-moonlight-white-128-gb/p/itm178c61a8738f0?pid=MOBFJFZDF6EZQRHH&lid=LSTMOBFJFZDF6EZQRHHNIVFO5&marketplace=FLIPKART&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFJFZDF6EZQRHH.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
"Redmi Note 9 pro max (Aurora Blue, 64 GB)","₹14,999",4.4 out of 5,"3,440 Ratings & 254 Reviews",https://www.flipkart.com/redmi-note-9-pro-max-aurora-blue-64-gb/p/itmfda9b577e6466?pid=MOBFTFETGANGQSKB&lid=LSTMOBFTFETGANGQSKBFXQYPO&marketplace=FLIPKART&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFTFETGANGQSKB.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
"Redmi Note 9 Pro Max (Interstellar Black, 64 GB)","₹14,999",4.4 out of 5,"6,611 Ratings & 544 Reviews",https://www.flipkart.com/redmi-note-9-pro-max-interstellar-black-64-gb/p/itm7dffdce5d6370?pid=MOBFUFTCKCPHZTQX&lid=LSTMOBFUFTCKCPHZTQXROREHT&marketplace=FLIPKART&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFUFTCKCPHZTQX.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
"Redmi Note 9 Pro Max (Champagne Gold, 64 GB)","₹14,999",4.4 out of 5,"6,611 Ratings & 544 Reviews",https://www.flipkart.com/redmi-note-9-pro-max-champagne-gold-64-gb/p/itma6155aa76e6be?pid=MOBFV99GD4BZRXFD&lid=LSTMOBFV99GD4BZRXFDF8PVPV&marketplace=FLIPKART&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFV99GD4BZRXFD.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
"Redmi Note 9 Pro (Aurora Blue, 128 GB)","₹17,880",4.3 out of 5,"1,099 Ratings & 66 Reviews",https://www.flipkart.com/redmi-note-9-pro-aurora-blue-128-gb/p/itma84d60532d415?pid=MOBFPZXUYDHUHNNN&lid=LSTMOBFPZXUYDHUHNNNVNRAEO&marketplace=FLIPKART&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFPZXUYDHUHNNN.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
"Redmi Note 9 Pro (Interstellar Black, 128 GB)","₹17,639",4.3 out of 5,"1,099 Ratings & 66 Reviews",https://www.flipkart.com/redmi-note-9-pro-interstellar-black-128-gb/p/itma84d60532d415?pid=MOBFPZXUT5FX9GUH&lid=LSTMOBFPZXUT5FX9GUHBV7YRQ&marketplace=FLIPKART&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFPZXUT5FX9GUH.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
"Redmi Note 9 Pro (Champagne Gold, 128 GB)","₹14,580",4.4 out of 5,"15,134 Ratings & 1,108 Reviews",https://www.flipkart.com/redmi-note-9-pro-champagne-gold-128-gb/p/itma84d60532d415?pid=MOBFVNYYZZ6AJT44&lid=LSTMOBFVNYYZZ6AJT44AYQN1H&marketplace=FLIPKART&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFVNYYZZ6AJT44.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
"Redmi Note 9 Pro (Glacier White, 128 GB)","₹14,599",4.4 out of 5,"15,134 Ratings & 1,108 Reviews",https://www.flipkart.com/redmi-note-9-pro-glacier-white-128-gb/p/itma84d60532d415?pid=MOBFUSGFZDDJHWMG&lid=LSTMOBFUSGFZDDJHWMGKVZPGH&marketplace=FLIPKART&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFUSGFZDDJHWMG.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
"Redmi Note 9 Pro (Glacier White, 64 GB)","₹13,879",4.4 out of 5,"15,134 Ratings & 1,108 Reviews",https://www.flipkart.com/redmi-note-9-pro-glacier-white-64-gb/p/itma84d60532d415?pid=MOBFPZXU9QDDSKNU&lid=LSTMOBFPZXU9QDDSKNU60MKWR&marketplace=FLIPKART&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFPZXU9QDDSKNU.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
"Redmi Note 9 Pro (Aurora Blue, 64 GB)","₹13,745",4.4 out of 5,"15,134 Ratings & 1,108 Reviews",https://www.flipkart.com/redmi-note-9-pro-aurora-blue-64-gb/p/itma84d60532d415?pid=MOBFPZXUDUPUKZF6&lid=LSTMOBFPZXUDUPUKZF68G6SGJ&marketplace=FLIPKART&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFPZXUDUPUKZF6.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
"Redmi Note 9 Pro (Aurora Blue, 128 GB)","₹14,999",4.4 out of 5,"15,134 Ratings & 1,108 Reviews",https://www.flipkart.com/redmi-note-9-pro-aurora-blue-128-gb/p/itma84d60532d415?pid=MOBFUUN6B5XSFYXT&lid=LSTMOBFUUN6B5XSFYXTG2FCXK&marketplace=FLIPKART&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFUUN6B5XSFYXT.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
"Redmi Note 9 Pro Max (Glacier White, 128 GB)","₹18,699",4.4 out of 5,"6,611 Ratings & 544 Reviews",https://www.flipkart.com/redmi-note-9-pro-max-glacier-white-128-gb/p/itm1f4b8a12f5710?pid=MOBFRWZNDTQSCQCB&lid=LSTMOBFRWZNDTQSCQCBENYBHL&marketplace=FLIPKART&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFRWZNDTQSCQCB.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
"Redmi Note 9 Pro Max (Champagne Gold, 128 GB)","₹18,199",4.4 out of 5,"6,611 Ratings & 544 Reviews",https://www.flipkart.com/redmi-note-9-pro-max-champagne-gold-128-gb/p/itma8d25ca0b4c91?pid=MOBFV99GTFHDSKGW&lid=LSTMOBFV99GTFHDSKGWYXWGYF&marketplace=FLIPKART&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFV99GTFHDSKGW.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
